"year","age","status","education","jobclass","insurance","wage"
2006,18,"never married","1.primary","industrial","no",75.0431540173516
2004,24,"never married","4.master","IT","no",70.4760196469445
2003,45,"married","3.bachelor","industrial","yes",130.982177377461
2003,43,"married","4.master","IT","yes",154.68529299563
2005,50,"divorced","2.highschool","IT","yes",75.0431540173516
2008,54,"married","4.master","IT","yes",127.115743812184
2009,44,"married","3.bachelor","industrial","yes",169.52853803668
2008,30,"never married","3.bachelor","IT","yes",111.720849360989
2006,41,"never married","3.bachelor","IT","yes",118.884359339886
2004,52,"married","2.highschool","IT","yes",128.680488220624
2007,45,"divorced","3.bachelor","IT","yes",117.146816914805
2007,34,"married","2.highschool","industrial","no",81.2832532842527
2005,35,"never married","2.highschool","IT","yes",89.4924795180001
2003,39,"married","4.master","industrial","yes",134.705375118879
2009,54,"married","2.highschool","IT","yes",134.705375118879
2009,51,"married","3.bachelor","industrial","yes",90.4819133566401
2003,37,"never married","4.master","industrial","no",82.6796372966372
2006,50,"married","5.phd","IT","no",212.842352315711
2007,56,"married","4.master","industrial","yes",129.156693004704
2003,37,"never married","3.bachelor","industrial","yes",98.5993438603892
2003,38,"married","4.master","IT","no",200.543262324662
2005,40,"divorced","2.highschool","IT","no",50.406660861266
2009,75,"married","4.master","industrial","yes",85.3839403789827
2007,40,"married","4.master","IT","no",160.642475408263
2006,38,"never married","2.highschool","industrial","no",94.0727147457005
2005,49,"married","5.phd","IT","yes",277.601417511009
2006,43,"married","2.highschool","industrial","yes",84.0459576539924
2004,34,"married","2.highschool","industrial","yes",65.1108537153447
2008,57,"married","2.highschool","industrial","no",116.265324062503
2003,18,"never married","2.highschool","industrial","yes",70.4760196469445
2004,55,"married","5.phd","IT","yes",195.676307990453
2005,51,"married","3.bachelor","IT","yes",101.402052302992
2008,33,"never married","5.phd","industrial","no",81.2832532842527
2005,34,"never married","2.highschool","industrial","no",111.720849360989
2006,36,"married","4.master","IT","yes",89.8800467811106
2003,56,"never married","5.phd","IT","yes",87.9810327856054
2006,70,"never married","4.master","industrial","yes",87.9810327856054
2004,25,"never married","4.master","industrial","yes",103.90247060316
2006,32,"married","3.bachelor","industrial","no",105.927810775063
2003,27,"married","1.primary","industrial","no",66.2294082943902
2004,28,"married","4.master","industrial","no",34.6074177301288
2007,27,"never married","4.master","IT","yes",109.833985642199
2004,43,"never married","1.primary","industrial","no",45.282169994022
2005,50,"never married","1.primary","industrial","yes",73.7757432746946
2004,39,"married","2.highschool","IT","no",81.2832532842527
2008,52,"married","5.phd","industrial","yes",154.68529299563
2009,35,"married","4.master","industrial","yes",267.901086855275
2007,57,"married","5.phd","IT","yes",176.989650489877
2006,25,"never married","1.primary","industrial","no",66.2294082943902
2006,33,"never married","2.highschool","IT","yes",116.265324062503
2005,57,"married","5.phd","IT","no",200.543262324662
2008,71,"married","3.bachelor","industrial","yes",101.82435207568
2004,43,"married","4.master","industrial","yes",272.294783220064
2003,23,"never married","3.bachelor","industrial","no",35.0334213214995
2009,30,"never married","5.phd","IT","yes",114.475713290347
2004,22,"never married","2.highschool","IT","yes",81.2832532842527
2006,59,"married","5.phd","IT","yes",200.543262324662
2003,28,"never married","4.master","IT","yes",148.413159102577
2004,61,"married","2.highschool","industrial","yes",99.6894636984864
2003,34,"married","2.highschool","IT","yes",111.720849360989
2005,43,"married","4.master","industrial","yes",152.838800991182
2006,54,"married","3.bachelor","industrial","no",117.146816914805
2005,69,"married","2.highschool","industrial","yes",77.7376033039781
2004,41,"married","3.bachelor","industrial","yes",87.9810327856054
2003,48,"married","5.phd","IT","yes",125.525498433836
2003,49,"married","3.bachelor","IT","yes",123.336103962059
2009,42,"married","2.highschool","industrial","yes",158.294621427791
2003,37,"married","4.master","IT","yes",200.543262324662
2004,55,"married","2.highschool","industrial","yes",99.6894636984864
2008,21,"never married","2.highschool","industrial","no",70.4760196469445
2004,58,"married","2.highschool","IT","yes",94.0727147457005
2006,31,"never married","2.highschool","industrial","no",81.2832532842527
2006,25,"never married","2.highschool","industrial","yes",81.2832532842527
2006,32,"never married","3.bachelor","IT","yes",100.764272842107
2009,40,"never married","1.primary","IT","yes",94.0727147457005
2003,44,"married","5.phd","IT","no",99.6894636984864
2003,60,"married","4.master","industrial","yes",268.266292012557
2006,23,"never married","1.primary","industrial","yes",81.2832532842527
2003,63,"married","2.highschool","IT","no",113.567089569751
