"neighborhood","district","year","fac_culture","fac_sports","fac_health","fac_welfare","fac_schools","hou_corporation","hou_occupant","hou_other","hou_value","inc_income","inc_gini","pop_total","pop_unemployed","saf_neighbors","saf_nonneighbors","saf_catering","spa_streets","spa_green","spa_playing"
"Langestraat e.o.","A Centrum",2017,29,0,19,2,1,83,599,484,653594,67100,0.46,1838,54,"2.high","1.low","2.high","2.average","2.average","3.high"
"Lastage","A Centrum",2017,16,0,20,4,1,163,211,287,363010,39800,0.36,1086,78,"1.low","1.low","1.low","2.average","2.average","2.average"
"Uilenburg","A Centrum",2017,15,2,12,2,1,292,301,203,378445,43800,0.38,1152,78,"2.high","1.low","2.high","1.low","1.low","1.low"
"Westelijke Eilanden","A Centrum",2017,37,1,25,9,1,868,567,237,399603,41500,0.38,2902,217,"2.high","1.low","2.high","2.average","2.average","3.high"
"Elandsgrachtbuurt","A Centrum",2017,50,6,37,13,1,1006,812,1107,353556,39100,0.38,4257,308,"1.low","1.low","1.low","2.average","1.low","1.low"
"Anjeliersbuurt Zuid","A Centrum",2017,49,0,23,6,1,956,545,459,347941,35900,0.35,2957,252,"2.high","1.low","1.low","3.high","2.average","2.average"
"Weteringbuurt","A Centrum",2017,26,3,37,4,1,131,668,706,433705,50900,0.42,2418,114,"2.high","1.low","1.low","2.average","3.high","2.average"
"Frederikspleinbuurt","A Centrum",2017,5,0,20,1,1,108,255,187,548899,61000,0.43,906,46,"2.high","1.low","2.high","2.average","3.high","3.high"
"Weesperbuurt","A Centrum",2017,31,0,47,8,1,535,565,611,390901,41800,0.42,3247,200,"2.high","1.low","2.high","2.average","2.average","2.average"
"Wittenburg","A Centrum",2017,33,0,14,14,1,811,392,98,305743,35200,0.3,2197,244,"2.high","1.low","2.high","2.average","2.average","2.average"
"Czaar Peterbuurt","A Centrum",2017,21,3,22,9,1,813,326,312,240673,33200,0.3,2230,282,"1.low","1.low","2.high","1.low","2.average","2.average"
"Zeeheldenbuurt","E West",2017,22,0,23,12,1,577,302,145,276801,33300,0.3,2090,243,"1.low","1.low","2.high","2.average","2.average","3.high"
"Spaarndammerbuurt Zuidwest","E West",2017,19,0,15,6,1,482,273,191,240285,33900,0.3,1739,147,"1.low","1.low","1.low","2.average","3.high","3.high"
"Staatsliedenbuurt Noordoost","E West",2017,9,1,8,3,1,572,139,32,261685,29800,0.27,1246,150,"2.high","1.low","2.high","2.average","3.high","3.high"
"Fannius Scholtenbuurt","E West",2017,47,2,30,12,1,1211,772,341,251845,33500,0.29,3711,427,"1.low","1.low","2.high","2.average","2.average","2.average"
"Frederik Hendrikbuurt Zuidoost","E West",2017,29,0,29,9,1,856,606,580,263040,36100,0.33,3293,365,"1.low","1.low","1.low","2.average","2.average","2.average"
"Da Costabuurt Noord","E West",2017,63,3,61,16,1,605,946,1106,339699,41500,0.35,4742,305,"2.high","2.high","2.high","2.average","2.average","2.average"
"Bellamybuurt Zuid","E West",2017,41,1,17,10,2,894,618,733,276769,35900,0.32,3592,321,"2.high","1.low","2.high","2.average","2.average","2.average"
"Da Costabuurt Zuid","E West",2017,32,0,15,4,1,314,565,562,290839,36200,0.32,2205,175,"2.high","1.low","2.high","2.average","2.average","2.average"
"Borgerbuurt","E West",2017,18,1,20,12,1,1348,267,104,260309,28800,0.28,2857,348,"2.high","1.low","1.low","2.average","2.average","2.average"
"Cremerbuurt West","E West",2017,58,1,59,19,1,667,1264,1418,319012,42100,0.33,5674,396,"1.low","2.high","2.high","2.average","3.high","3.high"
"Bosleeuw","E West",2017,46,2,23,16,2,1450,780,486,213256,32600,0.27,5832,620,"1.low","1.low","1.low","2.average","2.average","2.average"
"Landlust Zuid","E West",2017,31,1,18,14,1,1055,587,614,242974,33300,0.28,3983,431,"1.low","1.low","2.high","2.average","3.high","3.high"
"Gibraltarbuurt","E West",2017,49,0,17,11,1,1113,467,721,215904,29200,0.27,4187,548,"1.low","2.high","2.high","2.average","2.average","2.average"
"Erasmusparkbuurt West","E West",2017,70,0,32,10,2,252,1142,742,230535,36600,0.26,4000,246,"1.low","1.low","2.high","2.average","2.average","3.high"
"Kolenkitbuurt Noord","E West",2017,18,0,3,6,2,1231,170,30,197409,28800,0.25,3870,542,"2.high","1.low","2.high","1.low","1.low","1.low"
"Trompbuurt","E West",2017,49,3,25,11,2,282,545,752,296818,38000,0.3,3285,199,"1.low","1.low","2.high","1.low","2.average","2.average"
"John Franklinbuurt","E West",2017,10,2,8,7,1,505,222,398,232988,29400,0.27,1932,259,"1.low","1.low","2.high","1.low","2.average","2.average"
"Balboaplein e.o.","E West",2017,26,2,27,15,1,565,363,734,236497,32600,0.28,3161,330,"1.low","1.low","2.high","1.low","2.average","2.average"
"Columbusplein e.o.","E West",2017,37,0,26,10,1,1092,327,519,228264,30300,0.28,3601,469,"1.low","1.low","2.high","2.average","2.average","2.average"
"Postjeskade e.o.","E West",2017,39,3,22,7,1,315,468,874,287700,38700,0.29,3060,223,"1.low","1.low","2.high","3.high","3.high","3.high"
